label,text,notes
positive,"If you are considering this game you likely saw videos of the flashy combat, stylish game world, and thought that this could potentially be a fun, vast, open world that you could sink hours and hours into. It seems to be all true. But, this is also a Gacha game, so while you may hesitate to get involved with this type of genre (i was) - and not get to experience all that glorious combat and open world content- I'm going to defuse for you the powder keg that is Gacha here with two easy points to keep in mind while playing this game, so you can take advantage of all this game has to offer and also keep your wallet safe. *Point number 1. The 'free' part of the game is incredibly vast, on purpose. New characters are typically released over a period of 3 weeks. That's a long amount of time they need players to hang around to keep them as potential buyers when the next new character drops. So how do they keep players around? Give them compelling things to do. Story quests, puzzles, bosses, gear hunting, team building, lore and world building all entrenched in some really fun gameplay mechanics. It's all here. When you see the amount of events you have access to participate in when you are an appropriate level, you will know what I mean. The great thing is, everything you do gives you gems that you can throw at the Gacha system if you choose, but that leads me to my next point. *Point number 2. In terms of this Gacha system, there are really only two cash cows. 1 is you, and the other is the game world itself. If you have fun playing this game, and you mine the gameworld for all its worth in free gems, over the long term you will allow yourself to naturally pull hundreds of times on whatever character banner you want. That's hundreds of dollars worth of what some people may put into the game just to fast track obtaining a character instantly. Will you for sure get the character you try for, after saving up all those gems? No. And that's the true catch. But that catch, unfortunately, is also just a universal truth about what tends to make things more memorable. Does the raid boss in WOW always drop the piece you need? No. But when it does, you may remember that event for life, depending on how hard it was to get. So if you manage to keep the mindset that there is a years worth of game to play for you here for free, and you are not in a rush to get through it, you can have a 1-game-to-rule-them-all situation, and wallet that stays full too. So yes. The game is stylish and flashy. The combat is great. The open world, is actually jaw dropping. And the Gacha system is real. Luckily for you the Gacha system can be defeated if you simply remember to just not be in a hurry, accept what life gives you, and enjoy what's in front of you as you go.","Points out many positives, and the negative of the gacha system, then tries to explain that gacha isn't bad"
positive,"what can I say about this game, it's definitely not bad, I downloaded it only because of the collaboration with cyberpunk. So the storyline in the game is cool, the characters are interesting and beautiful, the music is excellent.",
positive,"My Steam hours dont even show the whole story here since I was playing this day one from Epic... it's prolly 700+ hours deep at this point. As a day one player and a spender on the game, I really want to address the good and the bad after 2 years of playing. The Good First the good... combat. As someone who is also a day one PGR player from the same developer Kuro Games, I already knew these devs can cook action games. The combat is elite. I like the cool flashy moments, the parry mechanics, and the fact that they drop experimental features every patch to keep things fresh. It just feels fast and satisfying. The grapple hook, wall-running, and mid-air dashes make exploring the map so much smoother too since you aren't fighting a stamina bar the whole time. Visually, the game is stunning in every new region they drop. They really stepped up the map designs compared to the early areas. The music is also a banger, it actually carries the vibe during bosses and exploration. The character designs are pretty good too, altho it still pales in comparison to PGR, but when they hit, they look great. Plus, the rogue-like Illusive Realm (lezgo its back) is actually super fun to mess around in and let you draft fun builds. It's also great that we have these other methods of exploration now like wings and the bike for those who don't want to waste too much time just running around. Obligatory *devs listened*. The Bad But now the bad... it is poorly optimized. I cannot play it on my laptop anymore just after 1 year and a half, so I had to move completely to my pc now just to run it without stutters. A lot of people with high-end rigs are still complaining about stutters during long sessions, so it's clearly an engine issue they need to fix. While having those exploration tools like the wings and bike is nice, it does trivialize it a bit. The maps now basically become a big checklist of get here fast, open chest, done, move to the next. There is no real awe or wonder of finding hidden stuff anymore. Also they literally took actual flying (not gliding) with wings away since we were in a new region just to add it right back on the bike... like make up your mind. It is also touted as ""Gathering Wives"" since males are so rare they might as well not exist in this game. It basically becomes a harem of sort where every girl is just obsessed with you, when it is not marketed as such in the beginning. Having cool males is not gonna make their game bad. In fact it will be better so the vibe doesn't feel off, and it gives the waifu enjoyers a patch to save up or even have some other options. PGR is having the same problem but it's not as bad as WUWA. Another problem is that beginning... that was a very bad launch and it basically bled out players of the game early on. It didn't really have a compelling story and world up until 2.0... that's more than 6 months from launch, which is way too late for people who already quit. Even the storytelling now has this weird habit where they introduce a ""character of the week"" who gets all the attention in the main quest, only to be completely thrown to the side and forgotten the second their banner ends. It more so becomes a glorified character quest than a main one. On top of that, the endgame now feels like a massive character check with ridiculous shills for new units (sure power creep needs to be a thing for them to sell characters but still). They'll drop a paid outfit for someone random instead of the more popular beloved ones. The rerun banners make no sense. They release a new support that perfectly matches an older character, and then they just don't rerun those older ones for ages. Older units are basically getting abandoned in the meta and the story. 1.X chars are pretty much dead at this point. The echo farming is also a total nightmare. The layers of RNG with the main stats and then using tuners just to roll flat defense or HP is just a miserable experience. You can waste days of overworld grinding and get zero progression. Obligatory *K*ll Kuro games*. The Blueprint Problem Now not to be the comparing one, but yes it has borrowed a lot of things from Genshin and put some spin to it, but I wish it hasn't. I wish they just followed stuff more from PGR. Like the gacha not being a crappy 50/50. We are gated by such restrictive systems on character ascension. Why don't we have a dorm/or even a house system yet? And the skins they've released so far look kinda cheap, I wish they made higher quality ones like their other game. Back to the Good (Patch Reflections) Honestly though, the patches are what saved this game for me. Here's how my favorite updates went down by order of release: 1.1: This is where things finally started getting good. The launch felt so empty but when Jinhsi and Changli (mommy) dropped, the narrative quality just shot up. The main quest for Jinhsi and the companion story for Changli was cinematic. 1.3: Easily the best patch in the 1.x era. Hello Shorewife. Black Shores was such a huge upgrade in terms of environment and music, and the whole aesthetic was just beautiful. 2.0: Rinascita the rebirth. Going from Huanglong to this feels like a different game the first time around. Vibe was great. 2.2: This patch was amazing and it carried so hard until the end of the 2.x storyline. The character we meet here, Cartethyia, is easily one of the best written characters in the game. Her connection with the threnodian actually made me care and appreciate the lore bits. 2.5: Really good patch too, especially for how they handled Phrolova as a playable villain. Usually gachas redeem villains in the corniest ways, but the way her arc and story section ended here felt somber and fit the darker tone perfectly. 2.7: Literal cinematic Avengers moment. Seeing the Black Shores cast and the Ragunessi rolling up during the Dark Tides invasion while all the massive lore drops about Abby and the Fractsidus architecture were happening was insane. It felt like the culmination of everything we've been building toward since day one. 3.1: Prolly one of the best patches in gacha history. Gained daughter +1. The dynamic with young Aemeath was so well done, especially that hand-drawn scene where you walk with her (that end scene mannn *cries*). We went into the story thinking we were gonna save the world like always, but the daughter saved us instead. (f*ck you Aleph-1) 3.3: Mommy Hiyuki helping us save our daughter from a black hole... plus a literal Gundam mech fight with the Exostrider? Holyyyyyyy. The combat is easily one of the best on the market, but I just wish Kuro trusted their own blueprint more instead of copying the wrong homework. That said, I am incredibly hyped for the upcoming Cyberpunk collab. As someone who absolutely loved Edgerunners, seeing that aesthetic mix with WuWa's combat mechanics is an absolute dream. 7.5/10 - would still gather wives again.",Wayy too long and possibly cause trouble for classification
positive,"Fellow ex Genshin enjoyer. I do not regret leaving my 2000+ hours and 300+ account behind for Wuthering Waves. I played it at launch but it was rather rough, however at this date I just cant wrap my head around how anyone would choose Genshin Impact over it. I suppose you can enjoy both at the same time, but Wuwa removes every single thing I hated about Genshin. Usually I dont do reviews like this, but heres a nice list of pros: -Sprinting does not consume stamina outside of combat -You can run up walls instead of slowly climbing them -Dialogue can be skipped -You can farm Echos (Wuwas Artifact counterpart) at any time, be it standard enemies or bosses, even if you are out of daily energy. However, EXP mats are another story... -Actual combat that requires skill instead of just premium Elemental Mastery teams -Bosses respawn immediately -No stupid weekly material rotations -You dont need 5 million different materials for one character, they use the same for everything, depending on weapon class -You dont have to teleport around like an idiot to craft things or complete dailies -The game tries different camera angles, and doesnt have the same two NPC models with only 5 animations -NO PAIMON, free from this aneurysm inducing little twerp who has to comment on, and recap every single thing -Weapon banners are guaranteed to give you the event weapon, you read that right! -Developers actually listen to the community (even outside of China) Tho unfortunately the lack of creativity map wise is a bit evident. While I really like the new areas, and while they are creative on their own, its not hard to see how they were heavily inspired by Fontaine and Natlan at their core... yall can do better on that part. (But I guess Septimont is what Natlan was supposed to be, so its better in the end?) Otherwise the best gacha/BOTW clone/ARPG I ever played. Im pretty confident even people outside of the gacha sphere will love this game.",
positive,Compress the game its 124.91gb. Kuro games wuwa has best gameplay but please COMPRESS THE GAME FILES. And thanks for bringing this to steam so i can write this review.,
positive,"I started Wuthering Waves about a month after its Steam launch, and honestly, I haven't missed a single day since. Im writing this after hitting 100% completion on absolutely everything: the map, every quest, all holograms, and even the end-game modes. And after all that, this game is a solid 10/10 for me. Ive spent countless hours on Destiny 2 and Dota over the years, and Wuthering Waves has still managed to be the game I've spent most time playing this year.",
positive,"Honestly this was a big surprise. I decided to play it just to have some downtime from fps games. A game I wanted to play just because of the 'flight' utility; see the world from above and enjoy the scenery. I did the ""viral"" global filter from tiktok too, to make it look more story book like (high contrast and color while lowering brightness). And to my surprise it was one of the few game that that I would find soothing and relaxing: more often than not I would pass out mid convo with NPCs. But after some time into it and going through some key story events, the whole world opens its doors wide. The maps are beautiful, with each region having distinct architecture and views that are just simply breathtaking. And other than the Main story events there are those centered around the characters/companion (companion quests). Though some are boring, I am glad to say that at the time of writing/typing, there were only two that I found below average in terms to enjoyment. Most of them are enjoyable, and at times I would actually be emotionally invested (to the point of tears) for certain companion quests. Of which was, in my case, quite rare: especially from Gatcha games. And before I knew it, I was invested. Currently I now play for the immersion and to see the great animation and visuals that WuWa has to offer. And I tell you, the rendered animations scenes can be crazy good. As a result of this, I'm now actively trying to force myself to play fps so that I don't binge too much on the quests and story in WuWa. Other than thaaat: Grinding is not much of hassle and is quite simple thanks to tons of QoL features. Gameplay is fun and easy to get into but can be quite challenging at times. As for the characters, though some are quite frankly meh or alright, there are quite a lot of them that are beautifully designed with personalities that can leave quite an impression on you. In conclusion, try it out it might impress you! besides.. it's free anyway!! :)",
positive,"They just need to decrease this game size and optimise it better, then its a best game right there",Nothing really says this review is positive clearly
positive,"In a genre that can be predatory towards consumers, Wuthering Waves is in a league of it's own (with a couple caveats). I finished the story, side quests, and about 98% of the exploration currently available and these are my observations so far. Positives: -Combat is fluid and satisfying. -There's almost always something to work towards upgrading on your characters. -Character upgrades feel substantial. -Exploration feels rewarding for the vast majority of the game. -Most everything is documented in game. Tutorials, guides, where to get the item you're looking for, etc... -Mostly excellent voice acting. -Excellent music (look up ""In Moments Does Moon Persist (Iuno Theme)"") -Non pushy monetization system. -you can guarantee yourself the characters or weapons you want on the banners if you're smart with your pull currency. Neutral: -Fun puzzles, but most are remedial. I would like optional harder puzzles for further rewards. -The story is epic, touching, and very well written at times, but drags on sometimes. I skipped a lot. -Characters are not created equal. Some are good, some are bad, regardless of skill. -You're going to be in menus a ton. It pays off but it's cumbersome. Negative: -Co-op is not good. Most of what I wanted to do with my friend was blocked by the game as single player only. Not Sure: -Having finished the story and exploration content, my opportunities for easy pull currency are limited to events, dailies, weeklies and monthlies. Apart from that I can wait for new patch content. I would imagine growth will slow significantly, but I've only just made it here. I do worry that this is the point that people start pulling out the credit card and get into trouble. I haven't spent money on the game yet but I do plan to when something catches my eye. For the 135 hours the game has given me so far it deserves some cash. Most of the micro-transactions seem not worth it, but when a cosmetic i want or something cool comes around I won't hesitate to buy it. Anyways, the game is free. if it sounds like your thing, try it out! It's good fun, just be aware of the gacha genre and resist gambling your irl money away unless you are in a position to do so without repercussions.",
positive,"[h2] As someone who has never been into the anime universe, this game is exceptional. Here are the things that impressed me after spending 100+ hours of playtime: [/h2] [list] [*] Smooth combat & gameplay. [*] Responsive controls, both on keyboard/mouse & gamepad (I use the keyboard more because it gives me better control and flexibility in fast-paced combat, but I switch to the gamepad when I want to sit back and chill). [*] Stunning visual & animation. [*] Unique character design. [*] An immersive open world to explore. [*] Good storytelling with emotional depth established through the characters. [/list] The standard of this F2P game can easily match modern AAA titles, and it's really worth the time to play and invest in, especially with the continuous updates, new contents, new characters, and new maps. Well done, KURO GAMES! Oh, and by the way... if you're a cat person like me, keep in mind that you can even pet and feed the kitties! ^^",
positive,"Its good, the quality is noticeable, with updates every few weeks and new characters and content. Combat feels great, not too hard, not too easy. But at the end of the day, its still a gacha. The monetization can be predatory, and if youre someone who struggles with spending too much on these types of games, you should probably stay away. For low spenders or F2P though, its surprisingly chill, you can enjoy pretty much everything without feeling forced to swipe. Great game overall, just play it responsibly.",
positive,The collab with Edgerunners brought me to the game and the storyline with Shorekeeper hooked me.,
positive,"I'm an old genshin player - and LET ME TELL YOU. This game is better in literally every capacity. Skip button - Check Better graphics - Check Better fighting style/techniques - Check No annoying stupid flying little **** - Check Re-rolling your echoes with ease? -Check Getting a crap ton of free wishes - Check awesome characters and story - Check Combat is actually challenging - Check FLIGHT - i love this feature, i want it in every area. Cute monsters (aka Echoes)- Check Early loot mapper? - Check minimal grinding? check RUNNING up walls instead of climbing? Check Like - just play it. its free, what do you have to lose? Get lost running around in a beautiful world and collecting all of the echoes. I also LOVE the recolor skins of the ""shiny"" echoes you can find randomly. So many little details to try and make it a top notch experience. Id say the developers clearly listen to their fan base to come out with a game like this. For new players to this kind of game - there is a bit of a learning curve in the beginning, just stick with it and it will all make sense soon.",
positive,"This is my first gacha game and I have to say I'm very impressed. I gave it a try because it was voted players choice GOTY and I can see why. The combat has a very high skill ceiling and is very satisfying overall, especially when you land combos and counters. I will say the new player experience leaves something to be desired, you get bombarded by UI menus and a million popups and notifications you don't understand, but if you can push through that intial overstimulation this game has a ton of depth and a fantastic story with lots of potential for the future.",
